,Unnamed: 0,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_excess_noise,visibility_periods_used,ruwe,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux_over_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_bp_rp_excess_factor,g_mag_error,labels,is_core,distance_pc,PMemb,gmm_label,estimated_mass,galactic_xyz_pc,relpos_cluster,r_cluster,radius,x_pc,y_pc,z_pc,proper_motion_scalar,lambd_av,lambd_av_rad
0,38,342427468949310592,29.087629945824297,0.020744048,36.87828336161356,0.017654952,0.5902426357941238,0.02155457,27.383642,5.7922497,-1.224617162955705,0.025584858,-5.661313208802811,0.023860548,-0.08116903,0.12335811,-0.4970413,0.15317789,-0.1892322,0.1589718,-0.13413325,0.19143589,0.1475734,0.1659167,0.11705884,13,1.2216595,3692.1772,12.99656,1670.849,13.545944,1449.2437,12.2986765,1.2472677,-97.25064,1.1310457,1.237743,0.00029406394,0,False,1694.2185117728418,0.8953650171284021,1,1.7484765725699845,[-1132.37280009  1051.58212734  -694.46615233],[-702.37280009 7912.58212734 3117.53384767],8533.53975578454,300.7718727284755,5965.157749391447,3318.4775713719023,5121.122962469471,,,
1,99,342431046657600256,28.988609301738585,0.036820374,36.89957496186585,0.035597507,0.4842144664783098,0.04383135,11.047217,4.711335,-1.4880204017568126,0.05132158,-4.470176067778706,0.077465996,-0.06642799,0.38358817,-0.34692857,0.18165638,-0.36319983,0.30133015,0.22277243,0.13460924,0.22980809,0.6274434,0.04718212,10,1.0054021,2385.5574,15.146458,445.4239,15.489465,843.73193,14.633053,0.85641193,54.28093652592904,,1.2041901,0.00045512893,0,False,2065.200586163806,0.9586221314535976,1,1.2411003030629029,[-1378.30353791  1284.00026846  -846.56726199],[-948.30353791 8145.00026846 2965.43273801],8719.753453901385,486.98557084531967,6099.475561325922,3379.409496057208,5235.46460513022,4.711335139107172,40.35270928650536,0.7042876391496103
2,184,342442866407590144,28.81964880182876,0.031439543,36.96918310162645,0.022493752,0.7193122061268136,0.029934093,24.029865,2.37619,-0.953556601035753,0.03576193,-2.176467000681656,0.03159289,-0.16313826,0.38558066,-0.489822,0.21155067,-0.20437941,0.15984797,-0.2537295,0.037572958,0.27256063,0.10676068,0.059395414,12,1.0909106,3201.8083,14.6741,404.91492,14.970588,488.07797,14.2147665,0.7558212,18.499285292887315,,1.1945244,0.00033910092,0,True,1390.2169203892274,0.981394187027578,1,1.1732896254610083,[-925.58038371  867.18802372 -569.20029035],[-495.58038371 7728.18802372 3242.79970965],8395.608376026858,162.84049297079218,5876.935476316504,3233.4976472283056,5048.996175101924,2.376189974819998,40.24532225623953,0.7024133818975329
3,190,342442969486814336,28.900676215183022,0.021504115,36.90507721997128,0.017628035,0.6623436865066543,0.023522599,28.15776,6.68951,-3.4343564048988573,0.024823917,-5.74062170179444,0.027954102,0.010775122,0.38318056,-0.52232456,0.11011145,-0.25510097,-0.07892899,-0.43497008,0.19735149,0.45810124,0.39128485,0.03957467,11,1.2236904,3790.1255,13.712502,1052.5262,14.02532,1357.3644,13.238313,0.78700733,-66.04099,4.591006,1.1951379,0.00028646443,0,False,1509.7901895528273,0.9988675996367112,1,1.4299204413351596,[-1006.27377758   939.91618718  -619.22295024],[-576.27377758 7800.91618718 3192.77704976],8448.680968980501,215.91308592443602,5914.451865711269,3265.0439151955948,5073.3576136166475,,,
4,372,342447019640733568,28.71468777146072,0.051843055,37.01530884789601,0.04614603,0.7866534384534084,0.061379403,12.816244,1.7778571,-1.5652560561585926,0.057214767,-0.8430594786558472,0.06294488,-0.16401228,0.44961196,-0.38299596,0.20272225,-0.42830756,0.0924726,-0.24441056,0.023731017,0.3006805,0.22614485,0.0,13,0.9614681,1638.2551,16.245918,261.33118,16.710024,313.5238,15.62497,1.0850534,12.685587253699211,,1.2187104,0.0006627394,0,False,1271.2078167052055,0.9974039104129688,1,0.8606773531043348,[-845.07840216  794.59590793 -520.02802864],[-415.07840216 7655.59590793 3291.97197136],8343.711299274106,110.94341621804051,5842.939866520063,3200.863208223913,5023.1510712005675,1.7778570825273388,40.17988963989974,0.7012713673042092
5,497,342449394757854464,28.84143819210938,0.022708524,37.15063848138166,0.02375765,0.6732152162269759,0.02557383,26.32438,4.005948,-2.3284240286976035,0.029567417,-3.259764148821718,0.037120353,0.05528584,0.15282647,-0.23750918,0.14043684,-0.08573072,0.12696627,-0.08477731,0.053029537,0.02878192,0.23534669,0.07874802,13,1.1422118,2956.5967,14.785954,598.096,15.073489,667.2269,14.335191,0.7382984,33.21363451333471,,1.1940428,0.00036722497,0,True,1485.4090874601502,0.9974619467717848,1,1.1805381511937987,[-989.77650969  928.46896235 -603.92715118],[-559.77650969 7789.46896235 3208.07284882],8442.802133150024,210.0342500939587,5894.619097872501,3246.1481259128223,5098.715121984366,4.005948172824976,40.33813403790543,0.7040332530722448
6,582,342450837866999552,29.159342708477897,0.052617677,36.89482009707497,0.038162164,0.9195900862951262,0.046358697,19.836409,2.4531193,-1.219646912117095,0.06344807,-2.128439787824855,0.050680786,-0.29650915,0.0863591,-0.63316786,0.3383318,-0.15553212,0.33157966,-0.25192243,0.24324751,0.14020623,-0.07678979,0.020973524,12,1.0153884,1491.8483,15.883663,280.97495,16.391209,421.12537,15.218455,1.1727533,14.810921890915735,,1.2311877,0.00072777923,0,False,1087.441040201762,0.9954434459482132,1,0.861873802634497,[-727.65198147  674.42443253 -445.19916283],[-297.65198147 7535.42443253 3366.80083717],8258.726654735432,25.95877167936669,5767.7828526705425,3218.1357789266135,4958.109420985942,2.4531193449632,40.48838675640541,0.7066556577201417
7,606,342451353263072384,29.189002694406778,0.057763793,36.93612947857398,0.050180912,0.6806074470434217,0.06289146,10.821938,1.6763539,-0.7979957266450628,0.06774985,-1.4742338203461205,0.069314405,-0.09417254,0.32606068,-0.33025423,0.28588974,-0.18305548,0.20292598,-0.13747922,0.14426246,0.23922014,0.10707068,0.0,13,0.94628495,1481.97,16.501255,172.91034,16.999237,175.9303,15.842557,1.1566801,13.65521773673247,,1.2305651,0.0007326303,0,True,1469.2757247133113,0.9835470207032768,1,0.867335587360031,[-983.7093273   911.34948523 -600.44086336],[-553.7093273  7772.34948523 3211.55913664],8427.937032742417,195.16914968635137,5881.069996264424,3285.337695229837,5064.552749770835,1.6763539413847242,40.52931003148449,0.7073699036109711
8,791,342455751309577856,29.10297895696844,0.015031971,37.027402961260464,0.014029868,0.9551575048840936,0.014924652,63.998646,2.6851206,-1.7488734474176395,0.017909393,-2.037477497586201,0.020702844,-0.06993795,0.22890814,-0.40479222,0.3525505,-0.15861656,0.37530026,0.13773276,-0.020776723,0.053155012,0.12849465,0.010999562,13,1.0642431,2927.5261,13.167995,1262.9761,13.4262295,1373.7332,12.755006,0.67122364,-37.844776,3.7704148,1.1874655,0.00037087154,0,False,1046.9477493362185,0.998698531437416,1,1.3689618636660843,[-700.19776008  650.96118729 -426.69921405],[-270.19776008 7511.96118729 3385.30078595],8243.957127509999,11.189244453933497,5750.603278808496,3201.1363500921375,4964.4855844386,,,
9,832,342456472864081792,29.15320334850209,0.0142873665,37.04171505132648,0.013899609,0.9408752885364814,0.015888315,59.218063,1.6274749,-1.604121658774698,0.018752111,-0.2747151569055163,0.019415585,0.06778568,0.048541244,-0.26754698,0.10060559,-0.1519607,0.086067684,-0.07811028,0.14058264,0.15100694,0.20918119,0.095472895,14,1.2076341,3214.5984,12.750366,1960.3947,13.038747,1668.4347,12.2971945,0.74155235,17.858007,2.1664376,1.1950256,0.00033775173,0,False,1062.8401151394744,0.9990914413605216,1,1.5217709481286879,[-711.40102936  660.49863977 -432.75770662],[-281.40102936 7521.49863977 3379.24229338],8250.53978868878,17.77190563271506,5751.300488604027,3208.1313766959643,4970.09482448561,,,
